academicyear,unitid,instname,state,iclevel,appliedaid02,Average aid,grant07,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,tuitionfee01_tf,totalcompletions_100fte,ft_faculty_per_100fte,actcm25,actcm75
2007,448886,Arizona State University at the Downtown Phoenix Campus,AZ,1,91000,8402.597403,647000,77,91,39,46,3587,10,12,1247,60,71,3935,28,33,5675,4688,28.04873217,4.380713051,18,23
2006,446048,Ave Maria University,FL,1,,43461.1,2607666,60,81,19,26,2718,18,24,3179,55,74,6552,30,41,3248,14370,13.94903239,10.99827554,23,28
2007,446048,Ave Maria University,FL,1,,52809.4125,4224753,80,100,20,25,3496,17,21,2833,76,95,8178,43,54,8885,15805,24.83672874,12.55482991,23,29
2008,446048,Ave Maria University,FL,1,,57681.58871,7152517,124,55,36,16,3588,10,4,2717,123,55,11521,78,35,7320,16255,28.79836024,9.370894998,22,28
2008,445188,University of California-Merced,CA,1,2899000,35397.66082,18159000,513,77,266,40,3775,263,39,3932,437,65,6417,303,45,3458,7148,4.072384831,7.180257466,18,25
2009,445188,University of California-Merced,CA,1,4426000,26912.76042,20669000,768,83,403,44,4506,411,45,4876,692,75,6642,410,44,4681,7749,10.66138593,6.972325052,18,24
2005,443410,DigiPen Institute of Technology,WA,1,,3029.602041,296901,98,40,40,16,2428,6,2,1176,5,2,500,92,37,3293,13960,15.99305083,5.531442939,25,29
2006,443410,DigiPen Institute of Technology,WA,1,,3341.496815,524615,157,94,49,29,2494,6,4,4376,12,7,1985,151,90,2636,13960,1.382784882,4.455640174,23,30
2007,443410,DigiPen Institute of Technology,WA,1,,7878.401515,1039949,132,95,34,24,2629,8,6,5390,31,22,3420,130,94,5620,15360,9.818660903,3.98891805,22,28
2008,443410,DigiPen Institute of Technology,WA,1,,11873.39695,1555415,131,99,44,33,3763,10,8,5909,22,17,3638,117,89,15506,16720,17.3450416,4.456712078,24,29
2008,441982,Franklin W. Olin College of Engineering,MA,1,33874,138570.3378,10254205,74,100,3,4,4993,13,18,1500,74,100,34103,9,12,4003,33775,20.73578595,12.37458194,33,36
2006,441937,California State University-Channel Islands,CA,1,85898.76563,17792.16162,3522848,198,53,75,20,2828,108,29,2411,89,24,2536,122,33,2832,2980,19.76787735,4.20010327,17,22
2007,441937,California State University-Channel Islands,CA,1,95942,23350.81553,4810268,206,46,105,23,3400,105,23,2410,95,21,3208,136,30,3140,2980,15.56299359,3.977305135,18,24
2008,441937,California State University-Channel Islands,CA,1,92609,22492.32443,5892989,262,51,130,25,3621,135,26,2424,140,27,2593,174,34,3789,3452,25.6402093,3.910131919,18,23
2004,439321,Ave Maria College,MI,1,,26004.66667,1560280,60,88,22,32,3407,8,12,2593,53,78,3774,49,72,5519,10000,12.66214455,5.997857945,23,27
2005,439321,Ave Maria College,MI,1,,48853.26667,732799,15,100,9,60,1378,4,27,1300,14,93,2429,12,80,3423,12000,33.93412099,8.701056665,23,28
2003,433660,Florida Gulf Coast University,FL,1,,10279.94136,6661402,648,82,157,20,2972,510,64,1911,303,38,1688,229,29,3527,2628,22.59713954,4.718997057,19,23
2004,433660,Florida Gulf Coast University,FL,1,,10155.86571,7109106,700,85,161,19,2893,567,69,412,308,37,1840,235,28,3707,2908,21.1286544,4.238977685,19,23
2005,433660,Florida Gulf Coast University,FL,1,,15562.04195,11500349,739,82,134,15,2638,595,66,602,317,35,1966,218,24,4185,3056,25.03568491,4.802241351,20,24
2006,433660,Florida Gulf Coast University,FL,1,,15189.13327,15842266,1043,83,166,13,2159,864,69,2183,414,33,1782,325,26,4346,3373,21.01484406,4.386762003,19,23
2007,433660,Florida Gulf Coast University,FL,1,,14561.85397,18347936,1260,83,209,14,1680,1088,72,2280,505,33,1950,376,25,4633,3565,20.95045899,4.095611038,19,23
2008,433660,Florida Gulf Coast University,FL,1,,15168.57294,21524205,1419,79,267,15,3589,173,10,1478,379,21,1874,492,28,4935,3657,21.76204792,4.049360658,20,23
2009,433660,Florida Gulf Coast University,FL,1,,14525.60798,22935935,1579,86,301,16,4176,1342,73,2701,310,17,4112,532,29,5685,3979,22.54462503,3.818326455,20,23
2006,420574,Arizona State University at the Polytechnic Campus,AZ,1,,5500,187000,34,89,11,29,3855,3,8,2000,26,68,6395,9,24,3708,4295,34.8626896,4.863735718,20,25
2007,420574,Arizona State University at the Polytechnic Campus,AZ,1,305000,37666.66667,1695000,45,74,14,23,3211,4,7,1350,35,57,4753,21,34,10397,4447,23.81431461,4.484332926,19,25
2006,409698,California State University-Monterey Bay,CA,1,,39368.0146,10786836,274,51,143,26,3184,148,27,1857,130,24,2941,205,38,3292,2999,18.51581584,3.720741475,17,23
2007,409698,California State University-Monterey Bay,CA,1,,38667.72881,11406980,295,57,168,33,3295,149,29,2104,155,30,3650,195,38,3079,3002,19.60786713,3.91248158,17,24
2008,409698,California State University-Monterey Bay,CA,1,,24440.50575,10631620,435,59,234,32,3804,219,30,2005,234,32,3910,302,41,4148,3256,19.45948335,3.800259213,17,23
2009,409698,California State University-Monterey Bay,CA,1,,21270.37893,11507275,541,60,253,28,4453,220,24,1716,290,32,3715,389,43,4523,3535,16.58320033,3.402984447,18,23
2003,407009,Arizona State University at the West Campus,AZ,1,,11063.63636,2434000,220,73,71,24,3016,8,3,1250,155,51,2328,61,20,2939,2585,35.70680444,4.149657515,18,24
2004,407009,Arizona State University at the West Campus,AZ,1,,18517.50973,4759000,257,75,99,29,2978,9,3,944,198,58,2921,88,26,3367,3595,34.62879201,3.814531305,19,24
2005,407009,Arizona State University at the West Campus,AZ,1,2000,19342.19269,5822000,301,80,116,31,3271,41,11,851,23,6,2759,240,64,2207,4064,30.74071603,3.475490789,18,24
2006,407009,Arizona State University at the West Campus,AZ,1,156000,10654.69613,3857000,362,77,134,29,3537,20,4,1444,286,61,4187,116,25,3817,4346,28.82796839,3.793153735,19,24
2007,407009,Arizona State University at the West Campus,AZ,1,1062000,15111.9403,6075000,402,79,146,29,3318,38,7,1314,342,67,4194,108,21,3921,4444,28.17558625,3.472235656,18,24
2008,399911,Soka University of America,CA,1,,43732.24,4373224,100,100,26,26,4499,16,16,8385,89,89,12413,49,49,5736,22108,23.36956522,11.14130435,18,29
2002,392840,Watkins College of Art and Design,TN,1,,18316.5,293064,16,53,11,37,2463,5,17,1807,12,40,508,11,37,4834,8140,15.55566408,3.274876649,19,24
2003,392840,Watkins College of Art and Design,TN,1,,18359.55556,330472,18,55,10,30,1732,7,21,1506,10,30,630,15,45,3781,8592,13.91639605,4.553131274,18,24
2004,392840,Watkins College of Art and Design,TN,1,,49480,346360,7,50,2,14,5597,1,7,2130,2,14,10570,4,29,4863,9720,16.6878454,6.754604089,20,25
2005,392840,Watkins College of Art and Design,TN,1,,25832.625,413322,16,70,3,13,2633,8,35,3577,5,22,1809,11,48,3352,10620,23.5718511,6.071537404,17,23
2006,392840,Watkins College of Art and Design,TN,1,9900,8107.719298,462140,57,88,22,34,2200,25,38,3475,22,34,1518,34,52,4675,12120,19.21457183,6.781613585,20,23
2007,392840,Watkins College of Art and Design,TN,1,,14584.54286,510459,35,90,9,23,3698,9,23,3755,8,21,2000,26,67,6259,12720,19.97652751,6.560521886,25,30
2008,392840,Watkins College of Art and Design,TN,1,,7427.857143,467955,63,97,23,35,3179,22,34,4146,9,14,2626,46,71,3918,12720,19.64871053,5.704464347,21,30
2003,381787,Westwood College-Denver South,CO,1,,15754.78,787739,50,86,18,31,3000,8,14,1500,2,3,1000,50,86,7025,10235,61.87102783,4.033889502,18,23
2006,366711,California State University-San Marcos,CA,1,,40502.28115,12677214,313,46,148,22,2926,175,26,2235,134,20,2583,159,23,2960,3062,28.86999132,3.614882765,17,22
2007,366711,California State University-San Marcos,CA,1,,21592.17968,14661090,679,59,239,21,3760,256,22,2163,228,20,2414,587,51,2597,3092,24.87148263,3.185281662,17,22
2008,366711,California State University-San Marcos,CA,1,,26609.19172,17349193,652,61,231,21,4019,200,19,1941,216,20,2705,587,55,3411,3374,24.55312877,3.264059637,18,23
2009,366711,California State University-San Marcos,CA,1,,28474.84734,20331041,714,55,288,22,4379,329,25,2406,338,26,3015,433,33,5007,3650,20.97103878,3.334196702,18,22
2002,262129,New College of Florida,FL,1,1201646,20819.45775,2956363,142,99,22,15,2555,119,83,3283,120,84,2817,48,34,3301,2406,18.01627632,10.04447264,27,30
2003,262129,New College of Florida,FL,1,68871,12104.57534,1767268,146,95,29,19,2101,61,40,2882,57,37,2382,131,86,3566,3020,20.83333333,10.95679012,27,29
2004,262129,New College of Florida,FL,1,47524,14905.44805,2295439,154,98,32,20,2505,106,68,3521,142,90,3932,54,34,3129,3240,21.03210842,9.248161148,25,30
2005,262129,New College of Florida,FL,1,200229,22135.34615,4028633,182,96,27,14,2878,149,79,3802,160,85,3919,57,30,2524,3452,18.06358382,9.393063584,26,30
2006,262129,New College of Florida,FL,1,8706,21998.66055,4795708,218,100,30,14,3384,166,76,3796,217,100,4249,56,26,3479,3616,17.07373195,8.668202375,25,29
2007,262129,New College of Florida,FL,1,,27683.62857,4844635,175,100,33,19,3321,111,63,4394,175,100,3761,40,23,3247,3734,19.70509383,9.249329759,26,30
2008,262129,New College of Florida,FL,1,,26061.58416,5264440,202,100,34,17,3039,157,78,4097,196,97,2973,43,21,3509,3834,21.90352021,9.25684485,26,30
2009,262129,New College of Florida,FL,1,,25209.65315,5596543,222,100,40,18,4114,163,73,4359,222,100,3584,71,32,4244,4127,20.12738854,9.808917198,27,31
2002,243780,Purdue University-Main Campus,IN,1,4256746,11823.407,51999344,4398,67,1065,16,6780,2583,39,4961,2044,31,5245,2661,40,6351,4164,23.54884343,5.450014848,22,28
2003,243780,Purdue University-Main Campus,IN,1,4393145,15898.52588,60827760,3826,61,1058,17,4096,951,15,2876,2267,36,3817,2608,41,4142,5580,24.39188854,5.428229212,23,28
2004,243780,Purdue University-Main Campus,IN,1,5032557,16713.19289,65849980,3940,61,1146,18,3916,1100,17,3191,2458,38,3810,2726,42,4498,5860,25.13241572,5.524786724,23,28
2005,243780,Purdue University-Main Campus,IN,1,5703927,15929.56162,67079384,4211,62,1265,19,4085,1226,18,3327,2704,40,3744,2862,42,4411,6092,25.2061761,5.736262416,22,28
2006,243780,Purdue University-Main Campus,IN,1,6164876,16639.15546,74709808,4490,62,1213,17,4224,1259,17,3609,2866,40,4238,3060,42,4914,6458,24.03189326,5.855091852,23,28
2007,243780,Purdue University-Main Campus,IN,1,6812694,18251.97608,82407672,4515,60,1257,17,4414,1346,18,3859,2870,38,4660,3088,41,5835,7096,23.50044022,6.002873012,22,28
2008,243780,Purdue University-Main Campus,IN,1,7457219,20638.22024,87712436,4250,62,1213,18,5103,1257,18,4113,2653,39,4945,2852,42,5442,7416,23.73355592,6.258904967,23,28
2009,243780,Purdue University-Main Campus,IN,1,8760720,20345.59008,99266134,4879,70,1131,16,5337,1190,17,4206,2921,42,5490,2892,42,6326,7750,23.53530985,6.045934235,23,29
2002,243744,Stanford University,CA,1,,133123.4153,172128576,1293,80,220,14,5836,142,9,9553,754,47,17054,462,29,3640,26126,30.00914511,11.25427029,28,33
2003,243744,Stanford University,CA,1,,114131.1068,141066048,1236,75,242,15,6005,134,8,9251,807,49,17167,521,32,3918,27443,31.20005828,11.16824699,28,33
2004,243744,Stanford University,CA,1,,152523.5577,188976688,1239,76,226,14,5584,122,7,9708,805,49,17160,534,33,4148,28832,31.74215986,11.22688822,28,34
2005,243744,Stanford University,CA,1,,123253.4533,142480992,1156,70,185,11,5589,117,7,8289,705,43,18259,527,32,4358,30103,31.10722603,13.83038783,29,34
2006,243744,Stanford University,CA,1,,184125.0068,216531008,1176,72,172,11,5551,93,6,8322,745,46,20294,346,21,4223,31452,31.57418446,18.40685562,29,33
2007,243744,Stanford University,CA,1,,196122.4832,233778000,1192,72,210,13,5401,108,7,9648,785,48,22691,438,27,4271,33264,31.04512018,18.74408848,28,33
2008,243744,Stanford University,CA,1,,211097.9424,256484000,1215,71,217,13,6445,112,7,9697,927,54,25584,365,21,5261,35089,27.9043186,18.19820341,29,33
2002,240727,University of Wyoming,WY,1,2846254,16729.19781,21396644,1279,90,268,19,2993,941,66,3249,556,39,3290,559,39,3965,2807,22.91875467,8.440615888,20,26
2003,240727,University of Wyoming,WY,1,3237937,17672.18533,22885480,1295,89,328,23,2916,960,66,3026,536,37,3309,577,40,4354,2997,22.67281081,8.292380761,20,26
2004,240727,University of Wyoming,WY,1,3091956,17980.16537,23050572,1282,92,302,22,3012,936,67,3619,571,41,3580,598,43,3569,3090,21.83744419,8.51241836,20,26
2005,240727,University of Wyoming,WY,1,3427093,17325.8013,24065538,1389,92,302,20,3067,1022,68,3687,628,42,3870,651,43,3734,2721,22.18767209,8.131641621,20,26
2006,240727,University of Wyoming,WY,1,3510743,18889.1926,24518172,1298,92,244,17,2880,958,68,3438,613,44,4054,600,43,3680,2874,23.29766234,9.197693313,20,26
2007,240727,University of Wyoming,WY,1,3801183,18713.81793,27546740,1472,95,270,17,2606,1052,68,3434,671,43,3036,571,37,3716,2951,22.11718452,8.95550221,20,26
2008,240727,University of Wyoming,WY,1,4719843,22717.2756,35938730,1582,97,243,15,2823,1420,87,4613,470,29,2138,1176,72,2302,2990,23.45257471,9.545975237,21,26
2002,240480,University of Wisconsin-Stevens Point,WI,1,1175521,5675.767465,5687119,1002,67,282,19,2461,537,36,1359,139,9,980,715,48,2876,3375,21.55942684,4.709642763,20,25
2003,240480,University of Wisconsin-Stevens Point,WI,1,1234036,7132.876254,6398190,897,61,316,22,2891,473,32,1702,90,6,1417,704,48,2837,3631,20.13236929,4.48275592,20,25
2004,240480,University of Wisconsin-Stevens Point,WI,1,996260,6856.860489,6733437,982,66,355,24,2727,546,36,1657,70,5,1543,821,55,3235,4148,21.92964378,4.572718864,21,25
2005,240480,University of Wisconsin-Stevens Point,WI,1,914949,6270.079494,6940978,1107,73,316,21,2787,637,42,1599,128,8,1415,862,57,3560,4700,19.99370189,4.249640257,21,25
2006,240480,University of Wisconsin-Stevens Point,WI,1,885948,5875.548059,6357343,1082,71,276,18,2774,293,19,1818,120,8,1358,836,55,3746,5058,20.51041039,4.482084931,20,25
2007,240480,University of Wisconsin-Stevens Point,WI,1,882961,5694.445733,6873196,1207,74,299,18,3119,309,19,1919,152,9,1155,958,58,3929,5455,20.42940849,4.131565668,20,25
2008,240480,University of Wisconsin-Stevens Point,WI,1,1055654,6657.408027,7962260,1196,74,346,21,4013,350,22,2106,161,10,1264,915,57,4378,5830,20.27974013,4.320568191,20,25
2009,240480,University of Wisconsin-Stevens Point,WI,1,1157721,7479.663317,8930718,1194,74,326,20,4110,363,23,2046,159,10,1259,951,59,5130,6196,20.52175206,4.227807037,21,25
2002,240471,University of Wisconsin-River Falls,WI,1,564558,5215.813885,3531106,677,61,246,22,2673,280,25,1615,127,11,746,560,51,3042,3380,20.93545529,4.22011807,20,25
2003,240471,University of Wisconsin-River Falls,WI,1,660251,5552.101597,3825398,689,66,226,22,2828,307,29,1625,87,8,848,599,57,3437,3670,21.89770949,4.269458103,20,24
2004,240471,University of Wisconsin-River Falls,WI,1,671610,4489.154628,3977391,886,73,306,25,3080,446,37,1612,114,9,853,679,56,3826,4225,21.35148964,4.105350798,20,25
2005,240471,University of Wisconsin-River Falls,WI,1,642883,4687.408873,3909299,834,70,263,22,3047,393,33,1591,78,7,960,686,57,3964,4674,20.51080762,4.076607295,20,24
2006,240471,University of Wisconsin-River Falls,WI,1,646452,4174.681034,3874104,928,78,255,21,2918,194,16,1913,94,8,904,759,64,4314,5080,19.24431715,4.137616223,19,24
2007,240471,University of Wisconsin-River Falls,WI,1,713123,4599.415515,4328050,941,73,279,22,3322,192,15,1843,61,5,1120,796,62,4540,5446,22.12853414,4.024125034,20,25
2008,240471,University of Wisconsin-River Falls,WI,1,828817,5116.553719,4952824,968,76,310,24,3703,190,15,2107,67,5,1155,789,62,5110,5885,20.68627421,4.023722426,19,24
2009,240471,University of Wisconsin-River Falls,WI,1,890301,5214.194956,5375835,1031,77,310,23,3935,191,14,2426,83,6,1417,860,65,5889,6220,20.68071345,4.076724839,20,24
2002,240462,University of Wisconsin-Platteville,WI,1,849328,5352.010654,3516271,657,63,260,25,2787,371,36,1562,90,9,786,565,54,3044,3483,16.47451472,4.895728431,20,25
2003,240462,University of Wisconsin-Platteville,WI,1,701422,5607.881598,3931125,701,63,262,23,2942,381,34,1576,102,9,809,601,54,3126,3720,16.87793033,4.446592306,20,25
2004,240462,University of Wisconsin-Platteville,WI,1,729023,5285.290162,4244088,803,72,279,25,2988,436,39,1609,94,8,736,684,61,3315,4251,18.16207111,4.326899823,20,25
2005,240462,University of Wisconsin-Platteville,WI,1,699209,5057.763126,4142308,819,70,286,25,2749,452,39,1779,93,8,750,709,61,4007,4808,18.36769256,4.297363985,20,25
2006,240462,University of Wisconsin-Platteville,WI,1,910740,4524.522648,3895614,861,71,271,22,2756,275,23,1713,176,14,794,759,62,3821,5121,18.74274218,4.333280225,20,25
2007,240462,University of Wisconsin-Platteville,WI,1,1189026,4786.971624,4892285,1022,74,313,23,3257,282,20,1787,185,13,837,887,64,4005,5310,19.00836605,4.245856215,20,25
2008,240462,University of Wisconsin-Platteville,WI,1,1363322,5482.800365,6014632,1097,75,367,25,3601,308,21,1944,222,15,981,955,65,4378,5746,18.26980225,4.421386888,19,24
2009,240462,University of Wisconsin-Platteville,WI,1,1501610,6171.766165,6967924,1129,77,344,23,3904,315,21,2081,244,17,764,970,66,5235,6147,18.20957272,4.343567806,20,25
2002,240453,University of Wisconsin-Milwaukee,WI,1,550658,10255.23745,16757058,1634,57,566,20,2958,677,23,1812,96,3,2265,1365,47,3208,4054,20.37897007,4.596760167,19,24
2003,240453,University of Wisconsin-Milwaukee,WI,1,498759,10256.03793,19465960,1898,60,662,21,3233,862,27,1844,98,3,2156,1495,47,3288,4353,16.41658054,4.439315892,20,24
2004,240453,University of Wisconsin-Milwaukee,WI,1,435126,10234.10026,23272344,2274,61,730,20,3238,1025,28,1699,97,3,3465,1872,50,3702,5105,24.05197794,4.385866229,20,25
2005,240453,University of Wisconsin-Milwaukee,WI,1,436139,10052.47723,23844476,2372,64,778,21,3236,1141,31,1791,107,3,2647,1993,54,3887,5831,19.91852802,3.952242381,20,24
2006,240453,University of Wisconsin-Milwaukee,WI,1,463902,8649.009464,24675624,2853,68,825,20,3164,827,20,2025,143,3,2684,2436,58,4196,6220,19.663987,4.270332678,20,24
2007,240453,University of Wisconsin-Milwaukee,WI,1,515845,9908.605876,25970456,2621,66,781,20,3842,777,20,2071,194,5,2544,2230,56,4686,6626,19.78314425,4.04321276,20,24
2008,240453,University of Wisconsin-Milwaukee,WI,1,639081,9009.179208,27297813,3030,68,960,22,3881,927,21,2260,232,5,2568,2607,58,5443,6954,19.78082941,4.100417699,20,24
2009,240453,University of Wisconsin-Milwaukee,WI,1,774194,10601.0024,30923124,2917,73,907,23,4549,923,23,2456,252,6,3341,2461,61,6537,7305,20.38636944,4.197898566,19,24
2002,240444,University of Wisconsin-Madison,WI,1,3095280,16077.46705,56110360,3490,58,627,10,3664,2164,36,2238,1162,19,2689,1865,31,3845,4176,23.51708995,7.759245649,25,29
2003,240444,University of Wisconsin-Madison,WI,1,3475080,18675.24096,64560308,3457,63,654,12,3463,2100,38,2346,1574,29,2858,1816,33,4016,4423,24.77661751,7.086894388,25,29
2004,240444,University of Wisconsin-Madison,WI,1,3727584,20339.2722,69865400,3435,62,644,12,3508,1976,36,2389,1411,25,3055,1959,35,4264,5136,25.13325935,7.862185613,25,30
2005,240444,University of Wisconsin-Madison,WI,1,3681556,20152.87164,72691408,3607,64,669,12,3395,2079,37,2459,1499,27,3556,2072,37,4755,5862,25.48679633,6.780365951,26,30
2006,240444,University of Wisconsin-Madison,WI,1,4078199,19550.08753,71475120,3656,60,598,10,3774,839,14,2224,1927,31,2667,2192,36,4852,6280,24.73995328,7.899580121,26,30
2007,240444,University of Wisconsin-Madison,WI,1,4514038,21530.28539,75592832,3511,62,566,10,4408,804,14,2237,2326,41,2618,1938,34,5260,6726,25.05376094,7.130738078,26,30
2008,240444,University of Wisconsin-Madison,WI,1,4923008,20010.98188,82845465,4140,69,648,11,4938,885,15,2463,3569,60,1998,2008,34,5510,7184,25.07746993,7.929685889,26,30
2009,240444,University of Wisconsin-Madison,WI,1,4991297,22519.43434,87623119,3891,68,611,11,5250,813,14,2462,2840,49,2628,2086,36,5857,7564,25.48490657,7.961775834,26,30
2002,240426,University of Wisconsin-Superior,WI,1,287989,12075.58845,3344938,277,82,95,28,2658,144,42,1584,91,27,3642,188,55,2638,3230,19.1748226,5.340356295,19,23
2003,240426,University of Wisconsin-Superior,WI,1,292752,12291.64251,2544370,207,72,93,33,3289,120,42,1781,64,22,3631,141,49,2973,3461,20.20485911,5.038197317,20,24
2004,240426,University of Wisconsin-Superior,WI,1,320486,9596.664286,2687066,280,83,114,34,3043,157,47,1825,73,22,3664,201,60,3276,4270,21.09628576,4.66985743,20,24
2005,240426,University of Wisconsin-Superior,WI,1,333236,10581.5539,2846438,269,82,114,35,3039,156,47,1928,63,19,4515,179,54,3961,4802,22.75591936,4.79492184,20,24
2006,240426,University of Wisconsin-Superior,WI,1,332320,10016.43431,2744503,274,82,67,20,3051,56,17,2187,93,28,3721,202,60,3783,5182,20.25153117,4.661066698,20,25
2007,240426,University of Wisconsin-Superior,WI,1,325497,11553.15294,2946054,255,87,83,28,3313,64,22,2276,99,34,2836,183,62,4206,5572,21.31859643,4.802654772,20,24
2008,240426,University of Wisconsin-Superior,WI,1,329385,10880.63823,3188027,293,85,94,27,3721,81,24,2443,95,28,3285,211,62,4424,5911,23.0791868,4.963722161,20,24
2009,240426,University of Wisconsin-Superior,WI,1,366927,13624.57752,3515141,258,85,81,27,4289,63,21,2258,94,31,3519,192,63,5218,6359,22.55988224,5.018155624,20,24
2002,240417,University of Wisconsin-Stout,WI,1,1091417,6365.250283,5620516,883,69,298,23,2675,457,36,1330,59,5,1131,716,56,3209,3502,18.86782637,4.474096608,19,24
2003,240417,University of Wisconsin-Stout,WI,1,929282,6419.946259,6092529,949,73,290,22,2811,473,36,1380,104,8,819,790,61,3709,3758,18.17025709,4.04239094,19,24
2004,240417,University of Wisconsin-Stout,WI,1,868809,6338.647812,5939313,937,74,308,24,2703,442,35,1396,143,11,778,791,62,4074,5680,20.32685589,4.062616862,19,24
2005,240417,University of Wisconsin-Stout,WI,1,870757,6288.801494,5892607,937,73,334,26,2789,452,35,1377,126,10,755,799,63,4257,6263,20.99446925,4.110591871,19,24
2006,240417,University of Wisconsin-Stout,WI,1,971240,4623.153724,5834420,1262,74,390,23,2535,251,15,1800,185,11,794,1085,64,4441,6592,18.08557707,4.096363125,19,23
2007,240417,University of Wisconsin-Stout,WI,1,641698,5481.835088,6249292,1140,76,386,26,3097,249,17,1879,157,10,841,985,65,4604,6963,19.18201147,3.912325078,19,23
2008,240417,University of Wisconsin-Stout,WI,1,730265,5927.880634,7101601,1198,80,507,34,2658,253,17,2177,193,13,974,986,66,5339,7272,22.71576226,4.099982791,19,23
2009,240417,University of Wisconsin-Stout,WI,1,982684,6078.997667,7817591,1286,79,487,30,3092,274,17,2362,104,6,1421,1099,67,6122,7584,22.41335888,4.195288125,19,23
2002,240374,University of Wisconsin-Parkside,WI,1,635488,7758.440476,3910254,504,59,199,23,3057,232,27,2186,89,10,3700,344,40,3226,3292,14.2607604,4.464238037,18,22
2003,240374,University of Wisconsin-Parkside,WI,1,642456,8517.829424,3994862,469,62,177,23,3475,206,27,1864,90,12,2913,333,44,3545,3532,15.63412688,3.854323452,17,22
2004,240374,University of Wisconsin-Parkside,WI,1,440682,8177.868231,4530539,554,64,218,25,3314,277,32,2012,73,8,3996,412,48,3633,4072,15.827051,4.120365499,18,23
2005,240374,University of Wisconsin-Parkside,WI,1,358186,8084.491409,4705174,582,65,251,28,3448,308,35,2017,89,10,4103,430,48,3852,4648,14.71119878,3.851666647,17,22
2006,240374,University of Wisconsin-Parkside,WI,1,378583,9537.400398,4787775,502,64,224,29,3308,224,29,2206,46,6,4184,378,48,3957,4997,14.68428501,4.139848179,17,23
2007,240374,University of Wisconsin-Parkside,WI,1,434609,8939.532399,5104473,571,70,254,31,3642,244,30,2366,70,9,3346,446,55,4031,5384,15.18949517,4.038695261,18,22
2008,240374,University of Wisconsin-Parkside,WI,1,413116,9944.08291,5876953,591,71,283,34,3806,269,32,2456,77,9,2847,454,55,4550,5755,16.66379695,4.117787976,17,22
2009,240374,University of Wisconsin-Parkside,WI,1,500781,11171.91787,6937761,621,75,290,35,4261,261,31,2999,83,10,3131,477,57,5231,6068,15.63300527,4.036581959,18,23
2002,240365,University of Wisconsin-Oshkosh,WI,1,1140111,5207.636183,5238882,1006,55,325,18,2457,604,33,1494,179,10,1073,673,37,2759,3225,18.21985914,3.889752919,20,24
2003,240365,University of Wisconsin-Oshkosh,WI,1,967614,5502.308964,6322153,1149,65,367,21,2650,625,35,1532,157,9,1043,859,48,2983,3460,19.31476158,3.659052815,20,24
2004,240365,University of Wisconsin-Oshkosh,WI,1,904035,6051.39645,7158802,1183,67,342,19,2625,440,25,1630,178,10,1170,940,53,3200,4041,19.86797394,3.780462467,20,24
2005,240365,University of Wisconsin-Oshkosh,WI,1,846153,6867.089721,7883419,1148,67,385,23,2780,554,32,1735,143,8,1050,908,53,3658,4612,18.73383084,3.628108506,20,24
2006,240365,University of Wisconsin-Oshkosh,WI,1,790487,6728.698849,7596701,1129,70,280,17,2980,308,19,2148,136,8,916,929,57,3779,4977,20.58316597,3.899861663,20,24
2007,240365,University of Wisconsin-Oshkosh,WI,1,1097972,7346.361279,8499740,1157,67,342,20,3595,369,21,2334,150,9,1195,973,56,5294,5360,20.05471744,3.545103425,20,24
2008,240365,University of Wisconsin-Oshkosh,WI,1,1146003,7501.734919,8829542,1177,68,321,19,3692,325,19,2172,123,7,1459,974,57,4707,5689,19.91216609,3.72091177,20,24
2009,240365,University of Wisconsin-Oshkosh,WI,1,1338484,7882.888556,10539422,1337,74,361,20,4099,404,22,2274,140,8,1375,1105,61,5582,6037,20.45768772,3.732664411,20,24
2002,240338,Wisconsin Lutheran College,WI,1,,25219.33673,4942990,196,98,51,26,2475,96,48,2156,195,98,6970,115,58,2975,14116,15.53418599,6.657508283,22,27
2003,240338,Wisconsin Lutheran College,WI,1,,33261.40127,5222040,157,99,36,23,2546,78,49,2487,157,99,7020,102,65,3447,15096,18.76800371,6.873000899,22,27
2004,240338,Wisconsin Lutheran College,WI,1,,27625.70388,5690895,206,100,54,26,2084,83,40,2365,206,100,7591,128,62,3120,15850,22.32412731,6.274101139,22,27
2005,240338,Wisconsin Lutheran College,WI,1,,32342.02717,5950933,184,99,52,28,2649,78,42,2525,183,98,8033,125,67,3342,16640,20.44117659,6.772725762,22,27
2006,240338,Wisconsin Lutheran College,WI,1,,34342.52247,6112969,178,99,35,19,2317,72,40,2710,177,98,8785,150,83,3562,17470,17.95252236,7.41839767,22,27
2007,240338,Wisconsin Lutheran College,WI,1,,34367.86667,6701734,195,98,34,17,3712,68,34,2720,189,95,11765,130,66,3291,18654,22.1388182,7.986788842,21,27
2008,240338,Wisconsin Lutheran College,WI,1,,36925.55801,6683526,181,100,48,27,4008,64,35,2951,180,99,9603,123,68,4761,19564,19.13774991,9.127234575,22,27
2009,240338,Wisconsin Lutheran College,WI,1,,34950.34978,7793928,223,100,57,25,4851,83,37,3080,222,99,10006,162,72,5632,20560,18.76023645,9.032706436,21,26
